"","id","value","source"
"1","num_preprimary_level",0,"Facility Inventory 2012"
"2","num_preprimary_primary_level",48,"Facility Inventory 2012"
"3","num_primary_level",8,"Facility Inventory 2012"
"4","num_primary_js_level",0,"Facility Inventory 2012"
"5","num_js_level",0,"Facility Inventory 2012"
"6","num_js_ss_level",16,"Facility Inventory 2012"
"7","num_ss_level",0,"Facility Inventory 2012"
"8","num_primary_js_ss_level",0,"Facility Inventory 2012"
"9","num_other_level",0,"Facility Inventory 2012"
"10","student_teacher_ratio_lga",21.8038698328936,"Facility Inventory 2012"
"11","proportion_teachers_nce",0.645558487247142,"Facility Inventory 2012"
"12","number_classrooms_need_major_repair",282,"Facility Inventory 2012"
"13","proportion_schools_1kmplus_catchment_primary",0.303571428571429,"Facility Inventory 2012"
"14","proportion_schools_1kmplus_catchment_juniorsec",0.4375,"Facility Inventory 2012"
"15","proportion_schools_1kmplus_ss",0.509090909090909,"Facility Inventory 2012"
"16","proportion_students_3kmplus_primary",0.357142857142857,"Facility Inventory 2012"
"17","proportion_students_3kmplus_juniorsec",0.6875,"Facility Inventory 2012"
"18","primary_school_pupil_teachers_ratio_lga",27.3666146645866,"Facility Inventory 2012"
"19","junior_secondary_school_pupil_teachers_ratio_lga",14.6149193548387,"Facility Inventory 2012"
"20","teacher_nonteachingstaff_ratio_lga_primary",71.2222222222222,"Facility Inventory 2012"
"21","teacher_nonteachingstaff_ratio_lga_juniorsec",7.75,"Facility Inventory 2012"
"22","proportion_teachers_nce_primary",0.761310452418097,"Facility Inventory 2012"
"23","proportion_teachers_nce_juniorsec",0.495967741935484,"Facility Inventory 2012"
"24","proportion_teachers_training_last_year_primary",0.28393135725429,"Facility Inventory 2012"
"25","proportion_teachers_training_last_year_juniorsec",0.0907258064516129,"Facility Inventory 2012"
"26","proportion_schools_power_access_primary",0.0892857142857143,"Facility Inventory 2012"
"27","proportion_schools_power_access_juniorsec",0.3125,"Facility Inventory 2012"
"28","proportion_classrooms_need_major_repair_primary",0.419161676646707,"Facility Inventory 2012"
"29","proportion_classrooms_need_major_repair_juniorsec",0.310344827586207,"Facility Inventory 2012"
"30","proportion_classrooms_need_minor_repair_primary",0.239520958083832,"Facility Inventory 2012"
"31","proportion_classrooms_need_minor_repair_juniorsec",0.185344827586207,"Facility Inventory 2012"
"32","proportion_schools_covered_roof_good_cond_primary",0.160714285714286,"Facility Inventory 2012"
"33","proportion_schools_covered_roof_good_cond_juniorsec",0.125,"Facility Inventory 2012"
"34","num_textbooks_per_pupil_primary",1.49019733881854,"Facility Inventory 2012"
"35","num_textbooks_per_pupil_juniorsec",0.290108980549041,"Facility Inventory 2012"
"36","proportion_provide_exercise_books_primary",0.0357142857142857,"Facility Inventory 2012"
"37","proportion_provide_exercise_books_juniorsec",0,"Facility Inventory 2012"
"38","proportion_provide_pens_pencils_primary",0.0178571428571429,"Facility Inventory 2012"
"39","proportion_provide_pens_pencils_juniorsec",0,"Facility Inventory 2012"
"40","proportion_natl_curriculum_primary",0.410714285714286,"Facility Inventory 2012"
"41","proportion_natl_curriculum_juniorsec",0.5625,"Facility Inventory 2012"
"42","proportion_teachers_with_teacher_guide_primary",0.160714285714286,"Facility Inventory 2012"
"43","proportion_teachers_with_teacher_guide_juniorsec",0.375,"Facility Inventory 2012"
"44","proportion_schools_functioning_library_primary",0.0357142857142857,"Facility Inventory 2012"
"45","proportion_schools_functioning_library_juniorsec",0.3125,"Facility Inventory 2012"
"46","num_primary_schools",56,"Facility Inventory 2012"
"47","num_junior_secondary_schools",16,"Facility Inventory 2012"
