"","id","value","source"
"1","num_preprimary_level",5,"Facility Inventory 2012"
"2","num_preprimary_primary_level",112,"Facility Inventory 2012"
"3","num_primary_level",16,"Facility Inventory 2012"
"4","num_primary_js_level",0,"Facility Inventory 2012"
"5","num_js_level",4,"Facility Inventory 2012"
"6","num_js_ss_level",29,"Facility Inventory 2012"
"7","num_ss_level",1,"Facility Inventory 2012"
"8","num_primary_js_ss_level",1,"Facility Inventory 2012"
"9","num_other_level",1,"Facility Inventory 2012"
"10","student_teacher_ratio_lga",37.1450381679389,"Facility Inventory 2012"
"11","proportion_teachers_nce",0.673575129533679,"Facility Inventory 2012"
"12","number_classrooms_need_major_repair",564,"Facility Inventory 2012"
"13","proportion_schools_1kmplus_catchment_primary",0.410852713178295,"Facility Inventory 2012"
"14","proportion_schools_1kmplus_catchment_juniorsec",0.483870967741935,"Facility Inventory 2012"
"15","proportion_schools_1kmplus_ss",0.409448818897638,"Facility Inventory 2012"
"16","proportion_students_3kmplus_primary",0.3671875,"Facility Inventory 2012"
"17","proportion_students_3kmplus_juniorsec",0.575757575757576,"Facility Inventory 2012"
"18","primary_school_pupil_teachers_ratio_lga",49.0944350758853,"Facility Inventory 2012"
"19","junior_secondary_school_pupil_teachers_ratio_lga",22.3067632850242,"Facility Inventory 2012"
"20","teacher_nonteachingstaff_ratio_lga_primary",19.6065573770492,"Facility Inventory 2012"
"21","teacher_nonteachingstaff_ratio_lga_juniorsec",5.75,"Facility Inventory 2012"
"22","proportion_teachers_nce_primary",0.759966777408638,"Facility Inventory 2012"
"23","proportion_teachers_nce_juniorsec",0.572463768115942,"Facility Inventory 2012"
"24","proportion_teachers_training_last_year_primary",0.302325581395349,"Facility Inventory 2012"
"25","proportion_teachers_training_last_year_juniorsec",0.219806763285024,"Facility Inventory 2012"
"26","proportion_schools_power_access_primary",0.0465116279069767,"Facility Inventory 2012"
"27","proportion_schools_power_access_juniorsec",0.303030303030303,"Facility Inventory 2012"
"28","proportion_classrooms_need_major_repair_primary",0.387596899224806,"Facility Inventory 2012"
"29","proportion_classrooms_need_major_repair_juniorsec",0.49238578680203,"Facility Inventory 2012"
"30","proportion_classrooms_need_minor_repair_primary",0.252491694352159,"Facility Inventory 2012"
"31","proportion_classrooms_need_minor_repair_juniorsec",0.266497461928934,"Facility Inventory 2012"
