"","id","value","source"
"1","num_preprimary_level",2,"Facility Inventory 2012"
"2","num_preprimary_primary_level",48,"Facility Inventory 2012"
"3","num_primary_level",6,"Facility Inventory 2012"
"4","num_primary_js_level",0,"Facility Inventory 2012"
"5","num_js_level",1,"Facility Inventory 2012"
"6","num_js_ss_level",13,"Facility Inventory 2012"
"7","num_ss_level",0,"Facility Inventory 2012"
"8","num_primary_js_ss_level",1,"Facility Inventory 2012"
"9","num_other_level",1,"Facility Inventory 2012"
"10","student_teacher_ratio_lga",26.7389659520807,"Facility Inventory 2012"
"11","proportion_teachers_nce",0.709962168978562,"Facility Inventory 2012"
"12","number_classrooms_need_major_repair",176,"Facility Inventory 2012"
"13","proportion_schools_1kmplus_catchment_primary",0.0545454545454545,"Facility Inventory 2012"
"14","proportion_schools_1kmplus_catchment_juniorsec",0.571428571428571,"Facility Inventory 2012"
"15","proportion_schools_1kmplus_ss",0.283018867924528,"Facility Inventory 2012"
"16","proportion_students_3kmplus_primary",0.127272727272727,"Facility Inventory 2012"
"17","proportion_students_3kmplus_juniorsec",0.5,"Facility Inventory 2012"
"18","primary_school_pupil_teachers_ratio_lga",31.1717171717172,"Facility Inventory 2012"
"19","junior_secondary_school_pupil_teachers_ratio_lga",18.1653846153846,"Facility Inventory 2012"
"20","teacher_nonteachingstaff_ratio_lga_primary",6.6,"Facility Inventory 2012"
"21","teacher_nonteachingstaff_ratio_lga_juniorsec",4.33333333333333,"Facility Inventory 2012"
"22","proportion_teachers_nce_primary",0.828282828282828,"Facility Inventory 2012"
"23","proportion_teachers_nce_juniorsec",0.476923076923077,"Facility Inventory 2012"
"24","proportion_teachers_training_last_year_primary",0.426262626262626,"Facility Inventory 2012"
"25","proportion_teachers_training_last_year_juniorsec",0.2,"Facility Inventory 2012"
"26","proportion_schools_power_access_primary",0,"Facility Inventory 2012"
"27","proportion_schools_power_access_juniorsec",0.214285714285714,"Facility Inventory 2012"
"28","proportion_classrooms_need_major_repair_primary",0.412751677852349,"Facility Inventory 2012"
"29","proportion_classrooms_need_major_repair_juniorsec",0.330578512396694,"Facility Inventory 2012"
"30","proportion_classrooms_need_minor_repair_primary",0.316151202749141,"Facility Inventory 2012"
"31","proportion_classrooms_need_minor_repair_juniorsec",0.347107438016529,"Facility Inventory 2012"
"32","proportion_schools_covered_roof_good_cond_primary",0.0181818181818182,"Facility Inventory 2012"
"33","proportion_schools_covered_roof_good_cond_juniorsec",0.142857142857143,"Facility Inventory 2012"
"34","num_textbooks_per_pupil_primary",1.82971674672851,"Facility Inventory 2012"
"35","num_textbooks_per_pupil_juniorsec",0.565868263473054,"Facility Inventory 2012"
"36","proportion_provide_exercise_books_primary",0.0181818181818182,"Facility Inventory 2012"
"37","proportion_provide_exercise_books_juniorsec",0,"Facility Inventory 2012"
"38","proportion_provide_pens_pencils_primary",0.0363636363636364,"Facility Inventory 2012"
"39","proportion_provide_pens_pencils_juniorsec",0,"Facility Inventory 2012"
